A,B,C
130.202315927,1.94962663854,8.92
149.906769515,2.9182058012,8.96
105.10450014,1.73655985443,8.79
71.6722330187,1.58376219469,8.12
125.08947746,2.48590314417,8.81
87.6630656849,1.85892141408,9.04
127.47236906,1.73291800458,8.43
127.449660365,2.29400917308,8.36
135.415959646,2.1309840655,7.68
108.173489795,2.52985943909,7.89
101.057148456,2.10684960335,8.58
103.470655598,2.08617717884,8.44
100.57597302,1.76524395179,7.98
149.282667002,2.40229708479,9.04
135.54588888,2.21651768727,9.39
106.818490089,1.96224656367,8.36
160.199001421,3.0530809716,8.62
112.908715709,2.34308765448,8.07
117.786018854,1.73286060106,8.53
166.444608372,2.80643175001,8.26
91.563931227,1.74622222923,8.36
121.327412845,1.75396303655,9.17
114.224625789,2.93438463233,8.54
11.4036720654,1.61119525525,8.36
88.1767102064,1.80187213822,7.74
140.936177195,2.4559238188,8.18
120.900638548,1.82889180429,8.32
134.788222851,1.71812530821,7.84
116.876447832,2.13323174311,8.67
130.833114935,2.2455856241,8.37
135.028287878,2.99230045495,8.28
114.295519191,2.85962424605,8.48
162.373387762,1.70956421095,8.20
106.612696635,1.96845921804,8.39
108.937633323,1.8628222305,8.14
119.102896264,3.12687507836,7.99
116.056144307,1.93196092464,
140.883506561,1.96940087924,
117.941800729,1.75148263269,
116.227187073,2.41770140549,
111.469344735,2.70417583541,
110.19565035,2.02800632368,
114.965387719,1.76971408513,
122.496410302,2.31085225488,
120.325297781,1.62161631622,
148.826464907,2.80303121502,
130.225055654,2.03321372888,
262.52652396,2.48683045357,
114.865087145,2.64951020942,
159.847903216,1.59079683599,
62.3279918567,1.64188681991,
109.335338247,2.21061461927,
123.276934583,2.86843724152,
112.524767771,2.27718709127,
104.313460197,1.82470937714,
113.442915048,1.80553482412,
133.151339757,2.07257025472,
98.5272824763,1.79932918381,
105.857995225,1.97132986776,
102.929584014,2.77103741618,
138.219053222,1.88763924462,
130.564146671,1.87797237969,
262.777953639,2.19096253671,
121.125522556,1.77137560293,
101.75023925,2.06525413472,
100.952530475,1.66280853909,
91.2962261947,1.90234645505,
118.548070679,1.6353324554,
100.190161895,1.67382981876,
114.289305411,1.71988489065,
115.138407315,2.09102770739,
93.1840013116,1.79507737242,
124.917344055,2.42517405447,
98.4336803566,2.09799358711,
117.941504815,1.71711267622,
79.302025457,2.3185719321,
142.622397587,2.06066563754,
125.12240504,1.57147462246,
101.864754072,1.80994766317,
125.64601555,1.64012032319,
