A,B
1.12866523022,8.92
0.928673738472,8.96
1.12835548627,8.79
1.29158043963,8.12
0.993959814838,8.81
1.24845742225,9.04
1.29594796902,8.43
1.22100739278,8.36
1.11023864794,7.68
1.33194931132,7.89
1.1594099498,8.58
1.0937785169,8.44
1.08782048375,7.98
1.26499572001,9.04
1.00895043947,9.39
1.14121133635,8.36
1.16943901465,8.62
1.17662985288,8.07
1.18910319939,8.53
1.1262447864,8.26
1.17780592803,8.36
1.34242709176,9.17
1.06983321607,8.54
1.96211749034,8.36
0.976220921667,7.74
1.59759428007,8.18
1.16018306453,8.32
1.3213202511,7.84
1.09149226702,8.67
1.11412580137,8.37
1.09574089057,8.28
0.938317239344,8.48
1.30423757635,8.20
1.23957468149,8.39
1.07622393342,8.14
1.11115597729,7.99
1.306288689,
1.00841393741,
1.26681225857,
1.00804719016,
1.10357386,
1.1489178586,
1.20784854575,
1.05906104277,
1.06528808362,
1.13924246185,
0.955395505252,
1.31562783817,
0.874351094626,
0.988731671124,
1.13024094886,
1.2422931797,
0.994617882006,
1.03341029903,
0.919749316974,
1.09934163531,
1.25570749915,
0.998567756096,
1.13093229008,
1.11406249392,
1.09678917217,
1.01699258459,
1.2697492739,
1.16189246042,
1.06221649507,
1.12240840348,
1.19260902178,
1.17729438555,
1.13133355637,
1.08786433149,
1.06003245409,
0.951157588676,
1.14375004984,
1.36569455573,
1.11357478542,
1.19540474932,
1.07226458657,
1.02713490008,
1.10392566291,
